projectid,gender,purchasing_reason,decide_purchase_reason,not_book_reason,other_projects_before_deicde,condo_payment,day_off_activity,most_interested_activites_participation,room_size_wanted,purchase_budget,residences_count,would_recommend,information_source,saw_sign,car_type,decision_time_frame,family_monthly_income,individual_monthly_income_baht,exercise_preference,condo_living_style,car_brand,purchase_intent,travel_route_today,marital_status,occupation,age,Project Brand,Project Type,Starting Price,Location,hour_sin,hour_cos,day,month,quarter,year,week,day_of_week,is_weekend,day_of_year,season,has_booked_prediction
12,หญิง,unknown,unknown,unknown,อื่นๆ โปรดระบุ,ขอสินเชื่อ,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,หลังที่ 2,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,Missing,ภายใน 1 เดือน,"80,001 - 100,000","50,001 - 65,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,1790000,พหลโยธิน,-0.8660254037844385,-0.5000000000000004,17.0,10.0,4.0,2021.0,41,6.0,1,290.0,4.0,1.0
12,unknown,ใกล้ที่ทำงาน,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,Google Search,unknown,Missing,Missing,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,1790000,พหลโยธิน,0.8660254037844386,0.5000000000000001,19.0,3.0,1.0,2019.0,12,1.0,0,78.0,2.0,1.0
13,หญิง,ลงทุน/ปล่อยเช่า,unknown,อื่นๆ,unknown,unknown,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,unknown,unknown,Missing,7 - 12 เดือน,"80,001 - 100,000","120,001 - 150,000",unknown,unknown,unknown,ปล่อยเช่า,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,45 ปีขึ้นไป,MODIZ,HIGH RISE,2790000,บางเขน,-0.7071067811865471,-0.7071067811865479,10.0,8.0,3.0,2019.0,32,5.0,1,222.0,3.0,0.0
13,unknown,อื่นๆ,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,unknown,Other,Missing,Missing,Missing,"50,001 - 65,000",unknown,unknown,unknown,unknown,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,36-45 ปี,MODIZ,HIGH RISE,2790000,บางเขน,0.4999999999999999,0.8660254037844387,7.0,10.0,4.0,2018.0,40,6.0,1,280.0,4.0,1.0
14,หญิง,สภาพแวดล้อมที่ดีขึ้น,ราคา/ความคุ้มค่า,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,30-34 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,เพื่อน/ญาติแนะนำ,unknown,รถกระบะ 2/4 ประตู,ภายใน 1 เดือน,"200,001 - 300,000","120,001 - 150,000",unknown,unknown,Other,อยู่เอง,unknown,สมรส ไม่มีบุตร,ธุรกิจส่วนตัว ประเภท,25-35 ปี,BROWN,LOW RISE,2490000,พหลโยธิน,-0.2588190451025208,-0.9659258262890684,7.0,5.0,2.0,2023.0,18,6.0,1,127.0,2.0,1.0
14,unknown,ใกล้ที่ทำงาน,unknown,unknown,unknown,unknown,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,Missing,Missing,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,โสด,รับราชการ ประเภท,36-45 ปี,BROWN,LOW RISE,2490000,พหลโยธิน,0.4999999999999999,0.8660254037844387,9.0,10.0,4.0,2018.0,41,1.0,0,282.0,4.0,1.0
15,unknown,ลงทุน/ปล่อยเช่า,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,unknown,Other,Missing,Missing,Missing,"80,001 - 100,000",unknown,unknown,unknown,unknown,unknown,โสด,unknown,25-35 ปี,OTHER,LOW RISE,2700000,พหลโยธิน,0.8660254037844386,0.5000000000000001,17.0,11.0,4.0,2018.0,46,5.0,1,321.0,4.0,1.0
15,หญิง,unknown,unknown,อยู่ระหว่างการตัดสินใจ,Origin Property ระบุโครงการ,unknown,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",4 - 6 เดือน,"50,001 - 65,000","20,001 - 30,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานรัฐวิสาหกิจ ประเภท,25-35 ปี,OTHER,LOW RISE,2700000,พหลโยธิน,-0.4999999999999997,-0.8660254037844388,13.0,10.0,4.0,2019.0,41,6.0,1,286.0,4.0,0.0
16,unknown,แต่งงาน/สร้างครอบครัวใหม่,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,Website โครงการ,unknown,Missing,Missing,Missing,"40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,unknown,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,OTHER,LOW RISE,1590000,บางเขน,0.4999999999999999,-0.8660254037844387,11.0,8.0,3.0,2018.0,32,5.0,1,223.0,3.0,1.0
16,unknown,ใกล้ที่ทำงาน,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,Facebook Assetwise,unknown,Missing,Missing,Missing,"15,001 - 20,000",unknown,unknown,unknown,unknown,unknown,โสด,รับราชการ ประเภท,25-35 ปี,OTHER,LOW RISE,1590000,บางเขน,0.7071067811865476,0.7071067811865476,14.0,7.0,3.0,2018.0,28,5.0,1,195.0,3.0,1.0
17,ชาย,สภาพแวดล้อมที่ดีขึ้น,การดีไซน์รูปแบบอาคาร/แบบบ้าน,unknown,ไม่ได้เปรียบเทียบ,เงินสด,พักผ่อนส่วนตัว,unknown,51-60 ตร.ม.,6.01 - 7.0M,มากกว่า 2 หลัง,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้าย Fence ตรงโครงการ,"รถเก๋ง Luxury (Benz ,BMW ,Lexus ,Volvo ,Audi ,Mini Cooper)",ภายใน 1 เดือน,"200,001 - 300,000","150,001 - 200,000",unknown,unknown,เมอร์ซิเดส-เบนซ์ (Mercedes-Benz),อยู่เอง,unknown,สมรส มีบุตร (คน),อื่นๆ,45 ปีขึ้นไป,MODIZ,HIGH RISE,3990000,สุขุมวิท,-0.4999999999999997,-0.8660254037844388,22.0,6.0,2.0,2023.0,25,3.0,0,173.0,3.0,1.0
17,LGBT,ทำเลที่เดินทางสะดวกขึ้น,unknown,อื่นๆ,Other,unknown,unknown,unknown,51-60 ตร.ม.,3.01 - 3.5M,Missing,Missing,unknown,ป้ายสุขุมวิท 50,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",7 - 12 เดือน,"200,001 - 300,000","50,001 - 65,000",unknown,unknown,มาสด้า (Mazda),unknown,unknown,โสด,ธุรกิจส่วนตัว ประเภท,25-35 ปี,MODIZ,HIGH RISE,3990000,สุขุมวิท,-0.9659258262890684,-0.2588190451025206,30.0,12.0,4.0,2020.0,53,2.0,0,365.0,1.0,0.0
18,หญิง,ใกล้มหาวิทยาลัย,unknown,Other,ไม่ได้เปรียบเทียบ,unknown,ออกกำลังกาย,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook โครงการ,unknown,"รถเก๋ง Luxury (Benz ,BMW ,Lexus ,Volvo ,Audi ,Mini Cooper)",ภายใน 1 เดือน,"200,001 - 300,000","150,001 - 200,000",unknown,unknown,เมอร์ซิเดส-เบนซ์ (Mercedes-Benz),unknown,unknown,สมรส มีบุตร (คน),ธุรกิจส่วนตัว ประเภท,36-45 ปี,KAVE,Campus Condo,2590000,พหลโยธิน,-0.2588190451025208,-0.9659258262890684,7.0,3.0,1.0,2021.0,9,6.0,1,66.0,2.0,0.0
18,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,Missing,Missing,บอกต่อ,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,KAVE,Campus Condo,2590000,พหลโยธิน,0.8660254037844387,-0.4999999999999998,3.0,12.0,4.0,2021.0,48,4.0,0,337.0,1.0,0.0
19,ชาย,unknown,unknown,unknown,unknown,unknown,unknown,unknown,30-34 ตร.ม.,3.01 - 3.5M,Missing,Missing,unknown,Other,Missing,7 - 12 เดือน,"120,001 - 140,000","120,001 - 150,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,unknown,สมรส ไม่มีบุตร,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,ATMOZ,LOW RISE,2490000,รัชดา,-0.2588190451025208,-0.9659258262890684,30.0,8.0,3.0,2022.0,35,1.0,0,242.0,3.0,0.0
19,หญิง,ใกล้โรงเรียนบุตรหลาน,ทำเล,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,30-34 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,ป้ายโฆษณา,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"รถยนต์อเนกประสงค์ (SUV, MPV)",ภายใน 1 เดือน,"140,001 - 160,000","120,001 - 150,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,สมรส มีบุตร (คน),ธุรกิจส่วนตัว ประเภท,36-45 ปี,ATMOZ,LOW RISE,2490000,รัชดา,-0.7071067811865471,-0.7071067811865479,29.0,5.0,2.0,2022.0,21,6.0,1,149.0,2.0,1.0
21,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,40-50 ตร.ม.,3.01 - 3.5M,Missing,Missing,unknown,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,Missing,"40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,OTHER,LOW RISE,1250000,บางเขน,-0.4999999999999997,-0.8660254037844388,1.0,2.0,1.0,2020.0,5,5.0,1,32.0,1.0,
21,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,Missing,Missing,Missing,อื่นๆ,unknown,Missing,Missing,Missing,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,OTHER,LOW RISE,1250000,บางเขน,-0.8660254037844385,-0.5000000000000004,16.0,1.0,1.0,2021.0,2,5.0,1,16.0,1.0,
22,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,unknown,Other,Missing,Missing,"65,001 - 80,000","120,001 - 150,000",unknown,unknown,unknown,unknown,unknown,โสด,ธุรกิจส่วนตัว ประเภท,45 ปีขึ้นไป,BROWN,LOW RISE,2690000,รัชดา,0.4999999999999999,0.8660254037844387,7.0,4.0,2.0,2019.0,14,6.0,1,97.0,2.0,1.0
22,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,unknown,Other,Missing,Missing,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,โสด,unknown,25-35 ปี,BROWN,LOW RISE,2690000,รัชดา,0.8660254037844386,0.5000000000000001,23.0,3.0,1.0,2019.0,12,5.0,1,82.0,2.0,1.0
24,ชาย,unknown,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,unknown,unknown,101 -140 ตร.ม.,6.01 - 7.0M,Missing,Missing,Website โครงการ,unknown,Missing,Missing,Missing,"150,001 - 200,000",unknown,unknown,unknown,อยู่เอง,unknown,สมรส ไม่มีบุตร,unknown,25-35 ปี,MODIZ,HIGH RISE,2390000,ลาดพร้าว,-0.9659258262890684,-0.2588190451025206,5.0,10.0,4.0,2019.0,40,5.0,1,278.0,4.0,
25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,3.01 - 3.5M,Missing,Missing,Website โครงการ,unknown,Missing,Missing,Missing,"40,001 - 50,000",unknown,unknown,unknown,unknown,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,Missing,WYNN,LOW RISE,1760000,ลาดพร้าว,0.9659258262890684,0.2588190451025207,18.0,1.0,1.0,2019.0,3,4.0,0,18.0,1.0,1.0
25,unknown,แต่งงาน/สร้างครอบครัวใหม่,unknown,unknown,unknown,unknown,unknown,unknown,Missing,2.01 - 2.5M,Missing,Missing,unknown,unknown,Missing,Missing,Missing,"80,001 - 100,000",unknown,unknown,unknown,unknown,unknown,โสด,ธุรกิจส่วนตัว ประเภท,Missing,WYNN,LOW RISE,1760000,ลาดพร้าว,0.7071067811865476,0.7071067811865476,8.0,1.0,1.0,2019.0,2,1.0,0,8.0,1.0,1.0
26,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,1.51 - 2.0M,Missing,Missing,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,KAVE,Campus Condo,2700000,พหลโยธิน,0.0,1.0,19.0,11.0,4.0,2021.0,46,4.0,0,323.0,4.0,0.0
26,ชาย,unknown,unknown,unknown,unknown,ขอสินเชื่อ,ออกกำลังกาย,"กิจกรรมการกุศล เช่น บริจาคสิ่งของ, บริจาคโลหิต",Missing,1.51 - 2.0M,มากกว่า 2 หลัง,Missing,ลูกค้าเก่า AssetWise,unknown,Missing,ภายใน 1 เดือน,"200,001 - 300,000","150,001 - 200,000",วิ่ง Jogging,ปล่อยเช่า (กรุณาระบุอัตราค่าเช่าที่คาดหวัง บาท/เดือน),unknown,unknown,unknown,สมรส ไม่มีบุตร,ธุรกิจส่วนตัว ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,2700000,พหลโยธิน,-0.9659258262890684,-0.2588190451025206,21.0,8.0,3.0,2019.0,34,2.0,0,233.0,3.0,1.0
27,ชาย,ราคา,ทำเล,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,Shopping,unknown,30-34 ตร.ม.,3.01 - 3.5M,หลังที่ 1,Missing,อื่นๆ,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",ภายใน 1 เดือน,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,IVORY,LOW RISE,2390000,รัชดา,1.2246467991473532e-16,-1.0,21.0,12.0,4.0,2024.0,51,5.0,1,356.0,1.0,1.0
27,หญิง,unknown,unknown,อื่นๆ,อื่นๆ โปรดระบุ,unknown,ท่องเที่ยว,unknown,23-25 ตร.ม.,2.01 - 2.5M,Missing,Missing,อื่นๆ,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",4 - 6 เดือน,"200,001 - 300,000","120,001 - 150,000",unknown,unknown,โตโยต้า (Toyota),ปล่อยเช่า,unknown,โสด,ธุรกิจส่วนตัว ประเภท,25-35 ปี,IVORY,LOW RISE,2390000,รัชดา,-1.0,-1.8369701987210294e-16,7.0,10.0,4.0,2023.0,40,5.0,1,280.0,4.0,0.0
28,ชาย,ใกล้ที่ทำงาน,ทำเล,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,น้อยกว่า 23  ตร.ม.,1.01 - 1.5M,หลังที่ 1,Missing,Facebook โครงการ,ป้าย Fence ตรงโครงการ,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,ATMOZ,LOW RISE,1490000,แจ้งวัฒนะ,-0.7071067811865471,-0.7071067811865479,4.0,12.0,4.0,2021.0,48,5.0,1,338.0,1.0,1.0
28,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,อยู่ระหว่างการตัดสินใจ,Other,unknown,พักผ่อนส่วนตัว,unknown,35-39 ตร.ม.,1.01 - 1.5M,Missing,Missing,Google Search,ป้าย Fence ตรงโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",ภายใน 1 เดือน,"65,001 - 80,000","65,001 - 80,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,สมรส มีบุตร (คน),รับราชการ ประเภท,36-45 ปี,ATMOZ,LOW RISE,1490000,แจ้งวัฒนะ,-0.9659258262890684,-0.2588190451025206,18.0,9.0,3.0,2021.0,37,5.0,1,261.0,4.0,0.0
29,หญิง,อื่นๆ,unknown,unknown,อื่นๆ โปรดระบุ,unknown,unknown,unknown,40-50 ตร.ม.,5.01 - 6.0M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ ข้าง/หน้า สำนักงานขาย,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",7 - 12 เดือน,"80,001 - 100,000","80,001 - 100,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,3590000,บางโพ,-0.4999999999999997,-0.8660254037844388,10.0,6.0,2.0,2020.0,24,2.0,0,162.0,3.0,0.0
29,ชาย,ใกล้ที่ทำงาน,unknown,unknown,อื่นๆ โปรดระบุ,unknown,unknown,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,ป้ายบริเวณ รั้วโครงการ/หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",มากกว่า 1 ปี,"35,001 - 50,000","40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,Other,โสด,รับราชการ ประเภท,25-35 ปี,MODIZ,HIGH RISE,3590000,บางโพ,-0.7071067811865471,-0.7071067811865479,9.0,9.0,3.0,2023.0,36,5.0,1,252.0,4.0,0.0
30,หญิง,ใกล้ที่ทำงาน,unknown,อื่นๆ,unknown,ขอสินเชื่อ,unknown,unknown,35-39 ตร.ม.,1.51 - 2.0M,หลังที่ 2,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,unknown,Missing,ภายใน 1 เดือน,"65,001 - 80,000","50,001 - 65,000",unknown,unknown,unknown,unknown,unknown,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,1670000,รามอินทรา-วัชรพล,-0.9659258262890684,0.2588190451025203,29.0,9.0,3.0,2019.0,39,6.0,1,272.0,4.0,1.0
30,หญิง,ทำเลที่เดินทางสะดวกขึ้น,unknown,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,unknown,unknown,23-25 ตร.ม.,1.51 - 2.0M,หลังที่ 1,Missing,ป้ายหน้าโครงการ/รั้วโครงการ,unknown,"รถยนต์อเนกประสงค์ (SUV, MPV)",ภายใน 1 เดือน,"80,001 - 100,000","20,001 - 30,000",unknown,unknown,อื่นๆ,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,KAVE,Campus Condo,1670000,รามอินทรา-วัชรพล,-1.0,-1.8369701987210294e-16,6.0,7.0,3.0,2020.0,28,0.0,0,188.0,3.0,1.0
31,หญิง,ทำเลที่เดินทางสะดวกขึ้น,ราคา/ความคุ้มค่า,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,3.01 - 3.5M,หลังที่ 2,Missing,เพื่อน/ญาติแนะนำ,unknown,Missing,ภายใน 1 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานรัฐวิสาหกิจ ประเภท,25-35 ปี,MODIZ,HIGH RISE,2690000,รามคำแหง,-0.2588190451025208,-0.9659258262890684,18.0,2.0,1.0,2024.0,7,6.0,1,49.0,1.0,1.0
31,ชาย,ทำเลที่เดินทางสะดวกขึ้น,unknown,รอพาคนตัดสินใจมาดู,Other,unknown,พักผ่อนส่วนตัว,unknown,26-29 ตร.ม.,2.01 - 2.5M,Missing,Missing,Other,ป้าย Fence หน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,MODIZ,HIGH RISE,2690000,รามคำแหง,-0.9659258262890684,0.2588190451025203,28.0,7.0,3.0,2020.0,31,1.0,0,210.0,3.0,0.0
45,unknown,unknown,ทำเล,unknown,unknown,เงินสด,unknown,unknown,Missing,2.51 - 3.0M,หลังที่ 1,Missing,Facebook,unknown,Missing,Missing,Missing,"15,001 - 20,000",unknown,unknown,unknown,unknown,unknown,unknown,อื่นๆ,ต่ำกว่า 25 ปี,MODIZ,HIGH RISE,2510000,รังสิต,-0.5000000000000004,0.8660254037844384,28.0,5.0,2.0,2023.0,21,6.0,1,148.0,2.0,0.0
